country,sector_prefix,n_source_sectors,sector_output_total,co2_total,non_co2_total,ghg6_total
USA,Other / suppressed small cells,16,4.282827199999999e6,2.1365316031906788e9,4.284861681896894e7,2.0822367358581705e9
USA,23,12,1.3844619999999993e6,1.2015276668807316e8,1.8084007545644906e8,3.0099284214452225e8
USA,32,59,2.1997518960230476e6,4.0688482060269886e8,1.2029958223924892e8,5.271844028419472e8
USA,33,139,2.964185690894515e6,8.889440861279328e7,1.5414724256298972e7,1.0430913286909227e8
USA,31,37,1.2609942096774182e6,5.8395124776008144e7,1.0064854679631054e7,6.84599794556392e7
USA,42,11,1.7701094999999993e6,1.5921729549640698e7,1.0880765739513654e6,1.7009806123592068e7
USA,44,6,826099.5000000002,7.430575803414094e6,507798.8190577684,7.938374622471862e6
USA,48,7,923519.3999999999,1.463532841512339e9,1.0166774937002547e8,1.5652005908823647e9
USA,51,15,1.5050508000000005e6,3.1664827360103115e7,5.07432080831663e6,3.673914816841975e7
USA,52,8,2.545139e6,2.2892942399463423e7,1.5644829448969155e6,2.445742534436034e7
USA,53,7,3.3975467166666673e6,4.262193093260197e7,2.730997268959482e7,6.99319036221968e7
USA,54,14,1.6679460241935486e6,1.5931016439590162e7,1.9743675113792967e6,1.790538395096946e7
USA,56,9,321212.63440860214,2.4623099667010164e8,3.4431973378248304e7,2.806629700483499e8
USA,62,13,2.0926138888888885e6,1.3302879470941824e8,7.3429729687761115e6,1.4037176767819443e8
USA,71,8,258240.19999999995,2.3228114550230503e6,246823.45838316923,2.56963491340622e6
USA,72,4,928707.9999999998,8.353515760797691e6,1.4393263413427374e6,9.79284210214043e6
USA,81,12,669143.3225806452,3.1581254925296986e8,930536.5698184492,3.167430858227883e8
USA,S0,7,1.4351316e6,1.2908680058122478e7,882167.5012180561,1.3790847559340535e7
ZAF,I0,50,720806.8920342316,4.565475343432709e8,1.1970170620872134e8,5.747006408077211e8
