level,year,metric,point_estimate_original,ui95_low,ui95_mid,ui95_high,ui90_low,ui90_high,relative_width_95,n_iter,interval_type,uncertainty_source
total,2015,g_S2_EMRIO,5.111031060824914e9,5.110954904650091e9,5.111036457968241e9,5.111059417398542e9,5.110986715010373e9,5.111056816388697e9,2.0448466700252196e-5,30,simulation_based_95pct_uncertainty_interval,replication_based_emrio_iter_recentered
total,2015,g_S23_EMRIO,4.077765219521758e10,4.0759836246979996e10,4.0777255545448875e10,4.08096094167457e10,4.076107690987613e10,4.080930379105184e10,0.0012205992029020913,30,simulation_based_95pct_uncertainty_interval,replication_based_emrio_iter_recentered
total,2015,g_S3_T,3.566662113439291e10,3.5648845469400536e10,3.566621743810711e10,3.569848132765499e10,3.5650078434516624e10,3.569816587616412e10,0.0013916613538306909,30,simulation_based_95pct_uncertainty_interval,replication_based_emrio_iter_recentered
