country,sic_division,n_segments,scope1_total,sales_total,scope1_intensity_median_group_mean,scope1_intensity_mean_group_mean
AUS,Mining,8,1.12774808125e7,6397.959540026291,1723.7834136618183,1607.1880046993042
AUS,"Finance, Insurance and Real Estate",10,25259.428582191467,3146.376869407529,8.183571994968041,27.29671852100567
Other / suppressed small cells,Other / suppressed small cells,91,6.422937619668096e7,239635.98328004088,201.1857671378797,204.00429392189875
AUT,"Transportation, Communications, Electric, Gas and Sanitary service",13,3.006095053001404e6,11930.220268150735,505.82284037594695,289.75095132430783
AUT,Manufacturing,7,2.495693274536133e6,17405.649960390823,12.313028102872424,34.797405314552044
BEL,Manufacturing,4,18721.89990234375,9118.797862000676,0.6784446573887573,1.7536744816008185
BEL,"Transportation, Communications, Electric, Gas and Sanitary service",9,40929.23406982422,7051.578755789069,3.597969337866475,4.866889929135623
BEL,"Finance, Insurance and Real Estate",8,21151.26799607277,5148.806040828063,1.8733612774570956,2.249131549029651
BRA,Mining,5,8.11093778125e6,13937.719858353059,797.2825324466395,1842.7904822835287
BRA,Wholesale Trade,5,2.104423549432373e7,35968.905626465676,542.8795081839887,430.1368091112193
BRA,"Transportation, Communications, Electric, Gas and Sanitary service",39,1.2985381111325031e7,39691.18337295236,20.85945010240019,112.88175681520225
BRA,Manufacturing,19,3.894620499565387e7,64875.9037873144,234.70412213278385,253.42831615428796
BRA,Construction,4,18701.514617919922,1462.4431832820967,12.713792568119384,12.986111187417716
BRA,Retail Trade,8,226197.36938476562,16436.1184576696,15.743667331659195,15.000053848050527
BRA,"Finance, Insurance and Real Estate",13,278548.34856987,43670.96071746184,0.5973974636827445,23.611910440120727
CAN,Manufacturing,35,1.932073737955284e7,75602.17017206643,29.50779730472924,149.0588459004928
CAN,Mining,37,2.8366221878825426e7,42263.364761235294,157.30731353056834,741.7646176255029
CAN,"Transportation, Communications, Electric, Gas and Sanitary service",35,1.917166738002777e7,45411.70380136485,376.3236081157705,747.3847864371353
CAN,Services,7,8468.811226844788,4782.457512801939,0.288071525310964,3.6251417705604383
CAN,Wholesale Trade,6,142783.76446533203,13264.123935842355,11.19381537385442,13.932846420844221
CAN,Retail Trade,4,248892.55152130127,35246.77732708606,1.227696794691911,6.453306130284715
CAN,"Finance, Insurance and Real Estate",38,394926.49882394075,150324.55019040412,0.8384186269374035,2.1791531198122653
CHE,Manufacturing,30,836582.857509613,97023.92587634322,7.259288601838183,27.403234184344722
CHE,Services,22,29931.893024286255,31317.292327321593,0.019236924409088568,0.4017466344189506
CHE,"Transportation, Communications, Electric, Gas and Sanitary service",7,405263.7592563629,23232.74749669525,0.005770828335494659,13.089767257504676
CHE,"Finance, Insurance and Real Estate",14,12348.992316246033,63542.9617075484,0.5104982571793782,6.002510717618613
CHL,Manufacturing,4,641401.87109375,3847.335615815866,170.99059137955533,160.37565355953677
COL,Manufacturing,9,7.597261590637207e6,8363.372707432693,30.548311604076748,706.3133593785611
COL,"Transportation, Communications, Electric, Gas and Sanitary service",17,2.3100943355560005e6,4447.440591910589,779.5321108608694,807.9054250019526
COL,"Finance, Insurance and Real Estate",14,3263.944361805916,3538.120946800153,0.19487865202484903,0.6847663169230115
DEU,Manufacturing,99,3.949891550520611e7,558353.3210266365,7.470809909957534,172.56440963132192
DEU,"Transportation, Communications, Electric, Gas and Sanitary service",30,1.5697028418052197e7,148099.9518491317,39.28225596533299,764.736171516402
DEU,Wholesale Trade,5,7.155955341583252e6,12243.659612214715,14.745511212560592,452.570517469184
DEU,Services,11,5.349543942932129e6,31226.413643424,7.528218724849941,98.5535257136787
DEU,Retail Trade,5,25375.4638671875,4841.733402198217,2.7433242611606823,6.670717520349269
DEU,"Finance, Insurance and Real Estate",29,281576.8442707062,75451.84278756444,1.5757069243960973,3.6991031983935763
DNK,Manufacturing,24,126583.64298152924,33981.942321572795,1.51377165714174,5.3442069012594535
DNK,"Transportation, Communications, Electric, Gas and Sanitary service",5,3.0502888312500715e6,7651.659322195205,457.3185837418727,295.6651983580945
DNK,"Finance, Insurance and Real Estate",7,2533.9742755889893,9523.870147418287,0.18534281866317837,0.3227977237824954
DNK,Services,6,6344.935882568359,8198.081175921548,0.8165332205342593,0.7428709038481885
ESP,Manufacturing,14,996821.0859680176,13433.087337885008,49.57541665808873,130.34631097253023
ESP,Retail Trade,4,504126.58544921875,20679.124111118606,32.91711712819972,32.91711722783957
ESP,"Finance, Insurance and Real Estate",19,36481.57369977236,35864.258485569684,0.5729481286662601,13.58838891362213
ESP,Services,12,120943.07705688477,10454.154384265843,16.367678141283108,24.25951518397464
ESP,"Transportation, Communications, Electric, Gas and Sanitary service",26,5.096561721677327e7,107509.74361800663,209.66699895803825,428.3727861906691
ESP,Construction,10,585546.5412387848,22620.28960042489,11.121705452623857,32.39891366809584
FIN,Manufacturing,45,4.1062074205031395e6,54544.718130460875,16.68475373278676,63.0679210871662
FIN,Services,7,30014.20502257347,1684.7430132587701,0.07853494014426365,17.69727281302767
FIN,"Transportation, Communications, Electric, Gas and Sanitary service",8,3.497328903875351e6,6752.790021112535,216.79351661183856,297.55443442064166
FIN,Retail Trade,5,33413.386080265045,8717.272287571752,0.6428077628451584,2.19454184034387
FRA,Manufacturing,61,9.99917952009964e6,332920.9189919975,3.92541825403398,38.910720347815385
FRA,Wholesale Trade,4,2.7811824965028763e6,31961.105686148654,30.794698116563158,57.405494167900336
FRA,"Transportation, Communications, Electric, Gas and Sanitary service",23,3.649684119830322e7,155705.9894601711,47.8437484744072,182.673040102544
FRA,Public Administration,7,1.2387506907348633e6,8987.06605131508,3.963931414283623,33.833236532099306
FRA,Services,38,360686.73424480855,33656.23671021377,0.19123462006958475,3.037033634448869
FRA,"Finance, Insurance and Real Estate",31,127058.42688155174,145734.02651920987,0.44719347414250016,3.869532329611125
FRA,Construction,4,827695.6828613281,17492.097826491245,33.29417713986909,38.06613057437961
FRA,Retail Trade,7,1.07580704586792e6,102363.35134086951,7.066141111734298,9.241794822758067
GBR,Mining,23,1.7019781768402506e7,88889.61751985896,13.459594957667496,181.17647831701026
GBR,Manufacturing,75,5.097966241754293e6,485494.1096076094,4.022176577245213,18.866718339017517
GBR,Retail Trade,10,674559.5965118408,42427.233766337595,15.241976224395081,13.242217620868022
GBR,"Transportation, Communications, Electric, Gas and Sanitary service",14,1.177577394631362e7,24017.38444157589,4.2204062160667295,408.11498538696776
GBR,Services,39,387702.0718148947,33973.82434708858,9.832450320644364,17.233389983171417
GBR,"Finance, Insurance and Real Estate",52,127633.7757806778,131830.53076373297,1.2883395562703983,3.1878898095093926
GBR,Construction,6,126500.14428710938,13607.738582457976,7.257066811353411,9.441036946835782
GBR,Wholesale Trade,8,16551.264177322388,8258.195255261935,2.147243083596168,1.7628491570342726
GRC,"Finance, Insurance and Real Estate",7,2146.110408782959,3248.681,0.9793851827459165,0.7046761600293653
IND,Mining,4,4.44145732421875e6,4269.419588954936,849.0289178935843,2135.097419777602
IND,Manufacturing,30,1.024210181780951e8,105964.42106830013,70.71246628940851,1322.960451664429
IND,"Transportation, Communications, Electric, Gas and Sanitary service",11,4.8095738383880615e7,7773.974654483529,78.77944190124757,15543.962545853543
IND,Services,11,130920.1723022461,27394.81947274325,2.6133006858432597,14.20546405503274
IND,"Finance, Insurance and Real Estate",14,3489.3937459290028,3906.1808179981595,0.0194847029618387,5.350746981553894
IRL,Manufacturing,9,3.516820999932766e6,16745.123807861357,2.240336880766956,168.01931429768888
IRL,Services,5,17227.766944885254,21538.840917946975,0.7998465156815164,0.7998465208432919
ISR,Manufacturing,6,1.29329585754776e6,17444.527477071453,156.23738216048136,155.83138916555285
ISR,"Finance, Insurance and Real Estate",6,3377.1078872680664,2337.4092729963004,1.4448081125359984,1.44480811357083
