FACTSET_ENTITY_ID,ISO_COUNTRY,YEAR,g_S3_est,SALES,accounting_year,g_S3_CDP_c
003JR4-E,AUS,2015,907854.2202704187,3800.4965178811563,2015,84695.83347604568
05FWGK-E,AUS,2015,86975.07842494923,1088.4249327849548,2015,2467.2123963472895
05HWY4-E,AUS,2015,963253.1967590883,6461.314997637382,2015,993553.1962391335
003JKC-E,AUT,2015,7.174631470472611e6,19863.125730493757,2015,1.106626998314162e6
05HX92-E,AUT,2015,1.5763175120239626e6,2711.112571260981,2015,162483.9441715966
09WND4-E,AUT,2015,334087.2638448836,1789.872,2015,12523.802438597497
05J17T-E,AUT,2015,154388.879380186,1082.795155967169,2015,233285.29521336505
002K83-E,BEL,2015,1.5895542039533349e7,8768.585566972983,2015,4.987838269094478e6
05HHCX-E,BEL,2015,1.5346324697216435e6,2914.562986107241,2015,26274.5530795507
05HJ3S-E,BEL,2015,5.549778052995354e7,20617.22992294656,2015,2.153066762987332e7
05JGJ8-E,BEL,2015,4.209003602254042e6,5454.711140904875,2015,143141.08746533192
0622GR-E,BEL,2015,1.0824289421931952e6,4874.161,2015,7604.779001224136
05HZ66-E,BEL,2015,57704.694046020115,110.66496052661715,2015,3295.5506075802455
002C5D-E,BRA,2015,7.227320224410631e6,12761.344844690293,2015,2.4448999681442804e6
003LG0-E,BRA,2015,5.566606914370334e7,75266.93985368304,2015,4.586211724839224e6
06JQ36-E,BRA,2015,2.3472682141014705e6,1824.0515885233442,2015,1.406293429161634e7
086DVT-E,BRA,2015,697383.1989586814,871.3445616871716,2015,36394.00011865262
08B2D0-E,BRA,2015,711509.1596830449,1701.2068083316726,2015,33181.06924869158
05J1R2-E,BRA,2015,9.084921837685753e6,10016.482126148341,2015,2.9305196217150493e6
0066G5-E,BRA,2015,312.09375114117734,0.3598089729802434,2015,0.28651387555455177
05HWJK-E,BRA,2015,1.2442137201802311e7,9096.48670055973,2015,1.243928337344971e6
