SECTOR_CODE,x,CO2,non_CO2,GHG6,ISO_COUNTRY,CO2_EDGAR
I00001,12575.2662991139,737780.2534001624,5.361981312807384e6,5.361981312807384e6,GHA,737780.2534001624
I00002,865.968549223013,221388.60705,13952.302054606153,235340.90910460614,GHA,50805.6434341549
I00003,1230.6282434683797,16736.309079372666,13174.08384900372,13174.08384900372,GHA,16736.309079372666
I00004,7521.732645602063,360333.33584339934,4.208987628905645e6,4.208987628905645e6,GHA,360333.33584339934
I00005,2734.2723478200605,200934.02245193324,2.0683744828395098e6,2.0683744828395098e6,GHA,200934.02245193324
I00006,8530.113688584384,1.8032108975810437e6,1.802155570803749e6,3.6053664683847926e6,GHA,557435.317938537
I00007,1161.7356796026677,133144.49277601237,7764.705674607176,140909.19845061953,GHA,182711.9252873116
I00008,325.82261433064116,474.0683562239416,1442.792899387303,1916.8612556112444,GHA,0.0
I00009,7096.612722524267,10325.494241817594,38368.681217043326,48694.17545886092,GHA,319839.69734878954
I00010,27561.593743325524,3.158786016031358e6,452297.22198713926,3.6110832380184974e6,GHA,3.4673977756188056e6
I00011,5632.814987324919,8.256722996071656e6,211884.0157616743,8.46860701183333e6,GHA,6.495455068586097e6
I00012,2764.6024901112123,4022.4665215215705,29595.538057245485,33618.00457876705,GHA,37598.065867316844
I00013,1430.0984976744974,2080.7777428944405,46168.17644579006,48248.954188684496,GHA,1.5041120666578587e6
I00014,2808.5177228455204,4086.3627069914305,30065.658064128907,34152.02077112034,GHA,38195.30464534335
I00015,665.5226785752066,968.328250971965,7124.533032211854,8092.861283183819,GHA,9050.981323632233
I00016,947.6429021381269,344981.00256334874,799689.2519637104,1.1446702545270592e6,GHA,237898.09012135895
I00017,2243.117143405691,3263.711020110354,24012.94906663141,27276.660086741762,GHA,30505.964748111808
I00018,2186.367619393931,3181.141080574343,23405.435797136724,26586.576877711068,GHA,29734.182059871808
I00019,1351.0595675354534,1965.7769601351094,14463.321577559831,16429.09853769494,GHA,18374.15208608278
I00020,936.1902190943897,638240.5180853406,4.568914652830941e6,5.207155170916282e6,GHA,54925.48950020103
