FACTSET_ENTITY_ID,ISO_COUNTRY,YEAR,g_S3_est,SALES,accounting_year,g_S3_CDP_c
003JR4-E,AUS,2015,982781.6199969489,3800.4965178811563,2015,84695.83347604568
05FWGK-E,AUS,2015,94498.15092704054,1088.4249327849548,2015,2467.2123963472895
05HWY4-E,AUS,2015,1.0395149280401466e6,6461.314997637382,2015,993553.1962391335
003JKC-E,AUT,2015,7.180055982369824e6,19863.125730493757,2015,1.106626998314162e6
05HX92-E,AUT,2015,1.5773530943418888e6,2711.112571260981,2015,162483.9441715966
09WND4-E,AUT,2015,334325.11957811,1789.872,2015,12523.802438597497
05J17T-E,AUT,2015,154542.4771481289,1082.795155967169,2015,233285.29521336505
002K83-E,BEL,2015,1.5928306835716678e7,8768.585566972983,2015,4.987838269094478e6
05HHCX-E,BEL,2015,1.537103203481721e6,2914.562986107241,2015,26274.5530795507
05HJ3S-E,BEL,2015,5.554865482393909e7,20617.22992294656,2015,2.153066762987332e7
05JGJ8-E,BEL,2015,4.21525036981687e6,5454.711140904875,2015,143141.08746533192
0622GR-E,BEL,2015,1.0844240250798012e6,4874.161,2015,7604.779001224136
05HZ66-E,BEL,2015,57789.112283761744,110.66496052661715,2015,3295.5506075802455
002C5D-E,BRA,2015,7.234566265149736e6,12761.344844690293,2015,2.4448999681442804e6
003LG0-E,BRA,2015,5.570788412923087e7,75266.93985368304,2015,4.586211724839224e6
06JQ36-E,BRA,2015,2.348486685522489e6,1824.0515885233442,2015,1.406293429161634e7
086DVT-E,BRA,2015,698042.7606337732,871.3445616871716,2015,36394.00011865262
08B2D0-E,BRA,2015,712249.7514414161,1701.2068083316726,2015,33181.06924869158
05J1R2-E,BRA,2015,9.092790838877508e6,10016.482126148341,2015,2.9305196217150493e6
0066G5-E,BRA,2015,312.94161824264546,0.3598089729802434,2015,0.28651387555455177
05HWJK-E,BRA,2015,1.2464538734708594e7,9096.48670055973,2015,1.243928337344971e6
05W4HH-E,BRA,2015,5.3813668662646245e6,4211.694512020269,2015,5844.834033751303
05WHCL-E,BRA,2015,742768.3577307074,776.3312932964266,2015,1855.667494046485
06NDR6-E,BRA,2015,432567.3159676387,822.0435669355296,2015,26294.564025520183
001YYP-E,BRA,2015,5.061866300812965e6,6735.923815000973,2015,27938.029744989526
05J2S0-E,BRA,2015,3.6982556464279057e6,5293.695998667409,2015,57014.889330236314
05J3LP-E,BRA,2015,2.2365275625484297e6,2922.4584307887817,2015,9255.98860415697
0026WY-E,BRA,2015,1.6000283670265079e6,5998.482260946991,2015,17279.978866592315
05HXDX-E,BRA,2015,363584.47248344356,1984.1763087983643,2015,61394.95840535944
007VQR-E,BRA,2015,685327.9250947265,2486.7441560952425,2015,18610.376935908946
00BSDK-E,BRA,2015,2.496126478331699e6,20304.412656556917,2015,58291.44715079005
05HWYX-E,BRA,2015,269542.57333848305,1030.3114795757776,2015,85370.27634845993
05HZBC-E,BRA,2015,7514.015411940586,37.30019686561857,2015,327.28471890219197
05NSLM-E,BRA,2015,858250.8459792525,6879.428097289413,2015,20125.48501303337
